cg_poly

5 atom types
3 bond types

406 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 344.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

146 30 1  40.777412 64.233856 30.546947
147 30 1  25.617239 24.856749 44.767616
148 30 1  42.627327 54.194683 64.255280
149 30 1  41.281017 61.315704 61.359085
150 30 1  65.664825 57.620277 54.826687
151 31 1  10.975639 64.192978 9.956844
152 31 1  56.417431 61.048317 19.762705
153 31 1  52.720612 52.922153 64.022385
154 31 1  37.168839 25.923647 8.299635
155 31 1  19.789709 21.369143 16.886379
156 32 1  65.591934 9.118908 22.733633
157 32 1  10.187513 32.759007 2.677613
158 32 1  68.275642 45.086674 6.580884
159 32 1  42.440395 4.972164 9.405129
160 32 1  47.405525 39.210960 32.797920
161 33 1  5.789692 39.248196 28.122267
162 33 1  15.408984 48.139851 52.203068
163 33 1  18.423605 40.346657 45.201149
164 33 1  48.779091 46.044506 27.859810
165 33 1  53.060436 52.974907 38.127300
166 34 1  46.264214 10.551374 25.040855
167 34 1  46.408634 51.437393 17.421658
168 34 1  53.093590 45.429417 66.334908
169 34 1  20.777180 37.794449 44.027843
170 34 1  21.200930 42.037918 64.732536
171 35 1  46.990322 14.755552 23.472839
172 35 1  17.788315 51.787632 45.171074
173 35 1  23.703430 45.775639 53.591423
174 35 1  32.241512 56.966221 48.966877
175 35 1  14.215158 27.656658 59.489883
176 36 1  36.760960 58.479637 3.423200
177 36 1  54.372459 0.040856 1.299615
178 36 1  29.169739 7.574103 1.558153
179 36 1  61.232529 26.558924 64.137810
180 36 1  17.670261 26.794128 38.648865
181 37 1  37.531502 4.769282 4.670763
182 37 1  67.362762 16.585915 25.489456
183 37 1  39.485638 50.743633 13.359777
184 37 1  45.032410 48.825523 67.809738
185 37 1  40.626656 41.012993 17.564112
186 38 1  2.502602 4.635303 39.438690
187 38 1  38.894825 39.505116 63.526863
188 38 1  4.743050 69.772644 35.958973
189 38 1  16.610086 39.265606 68.233025
190 38 1  13.154577 46.652531 57.659737
191 39 1  43.215176 15.424979 66.250237
192 39 1  22.804228 33.927471 47.628838
193 39 1  64.860992 64.526047 7.592526
194 39 1  21.302267 0.192135 64.805740
195 39 1  45.363548 12.685984 47.116978
196 40 1  14.582978 57.212795 1.033391
197 40 1  49.647472 53.022617 65.116386
198 40 1  45.632851 7.688078 25.663675
199 40 1  22.529482 48.756786 29.807350
200 40 1  5.631147 44.771976 16.345394
201 41 1  61.969231 0.078573 8.759751
202 41 1  6.974396 4.177759 41.109070
203 41 1  44.372036 29.051918 5.805141
204 41 1  56.838535 43.256889 41.285435
205 41 1  69.780174 7.510640 14.186478
206 42 1  11.872396 61.004391 50.720669
207 42 1  31.501446 65.410614 62.688648
208 42 1  49.845974 65.351158 41.338867
209 42 1  3.184997 2.199664 4.786043
210 42 1  20.935585 15.504926 49.492470
211 43 1  69.721992 26.455580 2.890026
212 43 1  52.371933 51.801163 66.495384
213 43 1  59.038361 22.996162 41.724030
214 43 1  44.670067 47.567150 49.843460
215 43 1  36.884895 1.264793 0.061741
216 44 1  63.726177 50.037731 38.168686
217 44 1  13.798837 29.291307 53.846939
218 44 1  36.916157 33.356022 25.984682
219 44 1  59.114471 68.725830 34.631744
220 44 1  6.694374 41.593952 49.068329
221 45 1  16.533575 48.408112 35.610699
222 45 1  52.513809 62.196178 22.317965
223 45 1  21.764826 66.815529 30.577181
224 45 1  35.935726 28.139303 11.897575
225 45 1  8.135856 45.099827 16.374563
226 46 1  8.040030 7.133152 1.619619
227 46 1  58.622009 8.517920 46.222469
228 46 1  11.677933 0.383908 33.058807
229 46 1  46.684273 63.679886 5.472631
230 46 1  65.541809 23.364855 5.923816
231 47 1  18.143047 31.045349 54.374424
232 47 1  25.905727 34.977295 17.329182
233 47 1  23.941774 41.292908 57.973751
234 47 1  20.882389 66.981293 67.818695
235 47 1  55.918243 6.241420 35.855900
236 48 1  5.775898 55.298248 49.621239
237 48 1  30.924849 12.979941 36.121429
238 48 1  62.414314 45.902122 17.311815
239 48 1  22.431641 18.974854 0.377730
240 48 1  29.566221 24.104883 32.214432
241 49 1  57.583927 5.058573 10.544039
242 49 1  42.276627 66.905411 22.346497
243 49 1  3.214668 56.533680 34.749882
244 49 1  48.816483 47.122673 48.538475
245 49 1  67.248360 53.630760 33.915958
246 50 1  43.489159 58.570335 19.992704
247 50 1  17.166744 38.415638 36.601978
