cg_poly

5 atom types
3 bond types

1594 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 86.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

146 30 1  41.858490 7.018023 2.856046
147 30 1  49.825348 17.147442 37.600464
148 30 1  35.896976 12.848953 57.617676
149 30 1  40.006744 15.089418 18.850233
150 30 1  24.466976 14.570116 39.996975
151 31 1  34.942558 34.040581 1.008954
152 31 1  28.511976 45.505348 38.188141
153 31 1  7.515814 41.327789 33.208488
154 31 1  53.790466 31.046511 42.341976
155 31 1  44.994652 56.802326 54.321396
156 32 1  12.490698 48.323605 61.595348
157 32 1  4.804767 56.660465 61.734070
158 32 1  48.779999 56.203487 60.312675
159 32 1  65.058487 28.842907 11.154883
160 32 1  62.462673 0.600750 44.826977
161 33 1  5.132209 11.136628 68.719139
162 33 1  11.742209 33.872093 1.341628
163 33 1  49.290115 66.804420 62.659653
164 33 1  36.683605 3.618256 33.298138
165 33 1  2.020698 1.593373 2.191977
166 34 1  43.251743 6.934070 59.422676
167 34 1  62.595234 14.528024 56.706745
168 34 1  38.079185 60.643604 22.245930
169 34 1  2.501977 40.165813 47.162907
170 34 1  40.892208 13.523372 34.436977
171 35 1  6.003604 31.727907 65.747910
172 35 1  59.980118 54.921043 30.050116
173 35 1  64.198257 23.783953 5.929535
174 35 1  62.521046 27.399651 67.301743
175 35 1  41.289070 50.073372 28.573954
176 36 1  59.143257 41.151630 14.867209
177 36 1  47.363487 69.618835 31.919302
178 36 1  64.457092 58.394070 28.828024
179 36 1  17.359070 24.594185 17.710930
180 36 1  37.187790 53.247208 32.684185
181 37 1  51.021397 41.480698 52.865700
182 37 1  19.011395 17.193487 8.389651
183 37 1  7.613372 35.156162 42.558258
184 37 1  48.282440 63.843025 31.773024
185 37 1  36.470699 15.112209 43.154652
186 38 1  61.767906 19.071976 26.888489
187 38 1  42.431396 10.630930 49.735466
188 38 1  66.945816 2.144070 42.144650
189 38 1  16.317093 6.357790 26.715931
190 38 1  67.907272 56.360931 67.568489
191 39 1  17.700813 7.944767 50.588024
192 39 1  47.779999 1.715286 5.508372
193 39 1  61.434303 13.562675 62.586395
194 39 1  58.230232 55.922791 11.304070
195 39 1  67.050934 15.448488 14.086861
196 40 1  44.282791 52.277908 3.237791
197 40 1  52.711742 36.920696 27.764536
198 40 1  46.096165 9.331744 45.010468
199 40 1  31.374187 36.454651 31.694767
200 40 1  16.403372 55.042789 2.203720
201 41 1  68.173431 25.994068 2.208604
202 41 1  36.899071 4.002093 2.859419
203 41 1  26.113836 7.724419 14.561745
204 41 1  29.490349 9.015697 39.095234
205 41 1  39.951046 56.594185 58.060699
206 42 1  14.619651 10.672092 43.870350
207 42 1  38.328140 36.226048 32.782673
208 42 1  49.776745 47.502090 17.854185
209 42 1  61.581394 38.350582 33.312675
210 42 1  57.743603 53.817791 68.186974
211 43 1  61.091743 49.691162 44.584305
212 43 1  25.470118 54.126045 10.758488
213 43 1  3.357442 21.704535 0.296744
214 43 1  39.074768 23.492558 27.157209
215 43 1  1.037442 52.829765 32.577328
216 44 1  11.229070 33.456047 35.515232
217 44 1  23.798954 44.006279 49.942677
218 44 1  35.236511 12.910233 21.409767
219 44 1  31.050232 19.076395 39.988255
220 44 1  33.237091 61.318836 55.072208
221 45 1  6.416396 28.102791 53.670929
222 45 1  15.675465 64.443718 22.062208
223 45 1  38.992908 39.462791 68.061859
224 45 1  47.401394 48.527557 0.563256
225 45 1  63.260929 26.411163 51.080002
226 46 1  9.006279 15.305814 6.960116
227 46 1  39.617672 62.018837 11.100233
228 46 1  43.756279 44.130928 53.554886
229 46 1  3.992674 21.130465 54.097324
230 46 1  20.536860 54.846863 33.970814
231 47 1  26.127441 45.936394 34.162792
232 47 1  56.155930 37.969185 33.676163
233 47 1  6.026861 22.333256 46.129650
234 47 1  5.993372 12.826279 61.963604
235 47 1  5.296628 0.269006 8.401511
236 48 1  43.604420 31.666162 65.911858
237 48 1  56.642326 12.096512 45.568836
238 48 1  56.040581 36.830582 15.402093
239 48 1  32.110233 45.918720 55.401279
240 48 1  36.416397 51.822906 68.487793
241 49 1  41.870815 44.724419 34.826397
242 49 1  57.901512 30.881279 54.824070
243 49 1  60.765118 30.108604 26.673952
244 49 1  13.974419 12.213372 5.475233
245 49 1  28.358721 62.875233 5.784651
246 50 1  52.359653 58.411976 10.756861
247 50 1  58.725582 63.569653 66.181862
248 50 1  15.757093 28.620813 58.069420
249 50 1  64.426857 34.545349 43.608257
250 50 1  15.612326 50.138256 34.645580
251 51 1  66.401749 9.010000 55.438023
252 51 1  65.038605 53.480347 32.686161
253 51 1  21.540234 62.599651 62.604534
254 51 1  43.671627 57.406513 33.949650
255 51 1  52.230350 24.187908 20.969303
256 52 1  20.718605 21.942675 30.717093
257 52 1  50.102211 52.212208 59.943954
258 52 1  66.806976 1.654934 0.766448
259 52 1  45.961395 21.401628 37.081047
260 52 1  56.164536 11.882558 19.403721
261 53 1  11.065000 13.378605 49.299301
262 53 1  47.595348 11.059302 34.288021
263 53 1  14.126977 59.423954 34.992443
264 53 1  9.841744 18.385349 41.840931
265 53 1  45.737328 52.911976 68.988373
266 54 1  32.722675 0.392906 42.132675
267 54 1  19.829304 13.594535 31.442675
268 54 1  37.514187 68.344536 0.570814
269 54 1  0.820930 0.616047 12.120465
270 54 1  45.777439 44.083603 64.066162
271 55 1  67.680466 63.670929 50.339649
272 55 1  27.481279 27.365931 45.924999
273 55 1  56.932209 67.506859 31.277557
274 55 1  69.114944 42.642208 40.803837
275 55 1  21.079302 32.578720 27.707790
276 56 1  60.923836 47.807674 67.586044
277 56 1  64.690811 41.961742 24.787790
278 56 1  9.078023 20.337675 57.669186
279 56 1  32.231396 28.646395 24.331047
